Round #,Score,Brute,NaiveBot,NiceBot,WesBot,DarwinianEmptySeat,Kind_Bot,bayes,bot,,Copies,Brute,NaiveBot,NiceBot,WesBot,DarwinianEmptySeat,Kind_Bot,bayes,bot,
0,0,0,0,0,0,0,0,0,0,,512,64,64,64,64,64,64,64,64,
1,129529,16272,15242,4838,18423,12882,21998,22844,17030,,512,64,60,20,73,51,87,90,67,
2,143702,16676,13790,1380,21198,9351,35029,27888,18390,,512,60,49,5,75,34,124,99,66,
3,143695,12420,11079,410,21061,5303,44204,29904,19314,,512,44,40,2,75,19,157,106,69,
4,169205,12380,9733,138,23606,1640,59325,35985,26398,,512,38,30,1,71,5,179,108,80,
5,174950,11856,6648,69,20277,801,69696,35639,29964,,512,35,20,1,59,3,203,104,87,
6,179327,7488,3968,69,16207,783,83381,35494,31937,,512,21,11,1,46,3,238,101,91,
7,193968,3442,3370,69,12485,171,99476,37391,37564,,512,9,9,1,33,1,262,98,99,
8,195922,814,1815,69,7634,351,108223,36170,40846,,512,3,5,1,20,1,282,94,106,
9,211978,839,1152,69,5520,141,124277,35790,44190,,512,2,3,1,13,1,300,86,106,
10,211985,583,870,69,3947,12,131161,32705,42638,,512,2,2,1,10,1,316,78,102,
11,215109,184,869,69,2684,12,138391,29885,43015,,512,1,2,1,6,0,329,71,102,
12,220100,483,856,69,2239,0,147290,26686,42477,,512,2,2,1,5,0,342,62,98,
13,216593,429,89,69,449,0,152330,23059,40168,,512,1,1,1,1,0,360,54,94,
14,222872,500,54,69,9,0,161891,21235,39114,,512,1,1,1,1,0,371,48,89,
15,221284,409,442,69,393,0,164827,18703,36441,,512,1,1,1,1,0,381,43,84,
16,214045,11,405,69,12,0,165825,16147,31576,,512,1,1,1,0,0,396,38,75,
17,227033,392,55,69,0,0,179362,14389,32766,,512,1,1,1,0,0,404,32,73,
18,219842,14,379,69,0,0,177981,12060,29339,,512,1,1,0,0,0,414,28,68,
19,223671,458,46,0,0,0,184885,10295,27987,,512,1,1,0,0,0,423,23,64,
20,221555,479,452,0,0,0,186243,8469,25912,,512,2,2,0,0,0,430,19,59,
21,226818,901,958,0,0,0,192183,7110,25666,,512,3,3,0,0,0,433,16,57,
22,222492,436,950,0,0,0,192434,6075,22597,,512,1,3,0,0,0,442,14,52,
23,225106,11,1036,0,0,0,196881,5291,21887,,512,1,3,0,0,0,447,12,49,
24,225108,490,1345,0,0,0,198408,4643,20222,,512,2,3,0,0,0,451,11,45,
25,225657,416,958,0,0,0,201408,4082,18793,,512,1,3,0,0,0,456,10,42,
26,225035,399,938,0,0,0,202057,3512,18129,,512,1,3,0,0,0,459,8,41,
27,225495,11,1390,0,0,0,204187,3156,16751,,512,1,3,0,0,0,463,7,38,
28,225683,11,1048,0,0,0,206419,2723,15482,,512,1,2,0,0,0,468,6,35,
29,224161,444,445,0,0,0,206890,2356,14026,,512,1,1,0,0,0,472,6,32,
30,225784,493,46,0,0,0,210181,2249,12815,,512,1,1,0,0,0,476,5,29,
31,229763,395,483,0,0,0,214451,1947,12487,,512,1,2,0,0,0,477,5,27,
32,227992,427,827,0,0,0,212825,1996,11917,,512,1,2,0,0,0,477,5,27,
33,224814,418,543,0,0,0,211503,1944,10406,,512,1,2,0,0,0,481,5,23,
34,223919,392,285,0,0,0,212573,1889,8780,,512,1,1,0,0,0,486,4,20,
35,227172,451,118,0,0,0,217385,1581,7637,,512,1,1,0,0,0,489,4,17,
36,227654,437,421,0,0,0,217782,1482,7532,,512,1,1,0,0,0,489,4,17,
37,224743,406,462,0,0,0,216292,1426,6157,,512,1,1,0,0,0,492,4,14,
38,228257,423,458,0,0,0,220396,1443,5537,,512,1,1,0,0,0,494,4,12,
39,230600,464,415,0,0,0,222693,1612,5416,,512,1,1,0,0,0,494,4,12,
